,img_name,label_name
0,하이웨스트익선1,"Dish,Food,Cuisine,Meal,Brunch,Breakfast,Ingredient,Full breakfast,appetizer,Finger food"
1,하이웨스트익선2,"Food,Cuisine,Meal,Dish,Brunch,Delicacy,Ingredient,appetizer,Breakfast,Finger food"
2,하이웨스트익선3,"Dish,Food,Cuisine,Torte,Dessert,Cake,Ingredient,Baked goods,Strawberry pie,Kuchen"
3,하이웨스트익선4,"Roof,Sky,Daytime,Architecture,House,Residential area,Neighbourhood,Home,Building,Urban design"
4,하이웨스트익선5,"Text,Font,Love,Photography,Illustration,Photo caption,Happy,Smile,Art"
5,하이웨스트익선6,"Dish,Food,Cuisine,Dessert,Ingredient,Frozen dessert,Produce,Cream,Baked goods,Sweetness"
6,하이웨스트익선7,"Food,Cuisine,Dessert,Dish,Sweetness,Ingredient,Bakery,Cake,Baked goods,P?isserie"
7,하이웨스트익선8,"Dish,Food,Brunch,Cuisine,Meal,Bakery,Sweetness,Breakfast,Dessert,Baking"
8,하이웨스트익선9,"Food,Meal,Brunch,Cuisine,Snack,Building"
9,하이웨스트익선10,"Material property,Room"
10,하이웨스트익선11,"Food,Dish,Cuisine,Ingredient,Garnish,Dessert,?la carte food,Cake,Recipe,Produce"
11,하이웨스트익선12,"Dish,Food,Cuisine,Dessert,Ingredient,Baked goods,Scone,Clotted cream,Breakfast,Tea"
12,하이웨스트익선13,"Property,Column,Building,Home,Door,Molding,House,Porch,Real estate,Architecture"
13,하이웨스트익선14,"Food,Whipped cream,Dessert,Dish,Cuisine,Cream,Sweetness,Ingredient,Frozen dessert,Dame blanche"
14,하이웨스트익선15,"Food,Chocolate brownie,Chocolate,Sweetness,Dessert,Chocolate cake,Cake,Black forest cake,P?isserie,Cuisine"
15,하이웨스트익선16,"Food,Meal,Brunch,Bakery,Breakfast,Cuisine,Dairy,Interior design,Dish,Building"
16,하이웨스트익선17,"Brunch,Meal,Buffet,Food,Table,Cuisine,Lunch,Breakfast,Room,Restaurant"
17,하이웨스트익선18,"Food,Whipped cream,Dessert,Cuisine,Baked goods,Cream,Dish,Pastry,Petit four,Baking"
18,하이웨스트익선19,"Dish,Food,Blackberry,Cuisine,Ingredient,Cheesecake,Dessert,Berry,Baking,Baked goods"
19,하이웨스트익선20,"Dish,Food,Cuisine,Ingredient,Breakfast,Meal,Coffee cup,Produce,Dessert,Brunch"
20,하이웨스트익선21,"Food,Dish,Cuisine,Dessert,Ingredient,Snack,Brunch,Frozen dessert,Cake,Baked goods"
21,하이웨스트익선22,"Food,Dessert,Cuisine,Dish,Whipped cream,Baked goods,Cake,P?isserie,Frozen dessert,Cream"
22,하이웨스트익선23,"Daylighting,Ceiling,Architecture,Light,Daytime,Lighting,Roof lantern,Window,Line,Design"
23,하이웨스트익선24,"Building,Property,Furniture,Room,Facade,Architecture,Home,Material property,Interior design,Porch"
24,하이웨스트익선25,"Food,Baking,Bakery,Dish,Cuisine,Brunch,P?isserie,Sweetness,Dessert,Pastry"
25,하이웨스트익선26,"Brunch,Building,Table,Food,Meal,Furniture,Interior design,Lunch,Cuisine,Local food"
26,하이웨스트익선27,"Food,Dish,Cuisine,Dessert,Frozen dessert,Sweetness,Ingredient,Chocolate,Cream,Brunch"
27,하이웨스트익선28,"Room,Furniture,Building,Interior design,Boutique,Door,Floor"
28,하이웨스트익선29,"Dish,Food,Cuisine,Meal,Brunch,Breakfast,Ingredient,Full breakfast,appetizer,Finger food"
29,하이웨스트익선30,"Food,Cuisine,Meal,Dish,Brunch,Delicacy,Ingredient,appetizer,Breakfast,Finger food"
30,하이웨스트익선31,"Dish,Food,Cuisine,Torte,Dessert,Cake,Ingredient,Baked goods,Strawberry pie,Kuchen"
31,하이웨스트익선32,"Cup,Drinkware,Font,Tableware"
32,하이웨스트익선33,"Dog,Mammal,Vertebrate,Dog breed,Canidae,Pomeranian,Spitz,Skin,Volpino italiano,Nose"
33,하이웨스트익선34,"Dish,Food,Cuisine,Ingredient,Ice cream,Cream,Frozen dessert,Dessert,Gelato,Whipped cream"
34,하이웨스트익선35,"Food,Torte,Cake,Dessert,Cuisine,Sweetness,Baked goods,Whipped cream,Dish,Frozen dessert"
